AFF_LOVE_POINT	نقاط الحب: %d%%
ALIGNMENT_NAME	نقاط الترتيب:
alsoExportToCharset	
CANNOT_ATTACK_DEST_IN_SAFE	إن الخصم بعيد جداً.
CANNOT_ATTACK_SELF_IN_SAFE	لا استطيع مهاجمة الخصم من هنا.
CANNOT_EQUIP_IN_EXCHANGE	لا يمكنك استبدال الدرع أثناء المتاجرة.
CANNOT_EQUIP_IN_SHOP	لا يمكنك استبدال الدرع أثناء المتاجرة.
CANNOT_OPEN_PRIVATE_SHOP_IN_SAFE_AREA	لا يمكنك فتح متجر خاص بك في مكان عام.
CANNOT_SHOOT_DEST_IN_SAFE	إن الخصم بعيد جداً.
CANNOT_SHOOT_EMPTY_ARROW	إنني بحاجة إلى سهم.
CANNOT_SHOOT_SELF_IN_SAFE	لا يمكنني مهاجمة الخصم من هنا.
CANNOT_SKILL_APPROACH	أنا متأكد بأنني لن اقترب منه.
CANNOT_SKILL_ATTACK	لا يمكنني مهاجمتك.
CANNOT_SKILL_DEST_IN_SAFE	إن الخصم بعيد جداً.
CANNOT_SKILL_EQUIP_FISHING_ROD	دون إستخدام صنارة صيد مجهزة لا يمكنك صيد السمك.
CANNOT_SKILL_HAVE_TO_RIDE	إنني بحاجة إلى حصان لاستعماله.
CANNOT_SKILL_NEED_EMPTY_BOTTLE	إنني لا أملك قارورة فارغة.
CANNOT_SKILL_NEED_POISON_BOTTLE	إنني لا أملك قارورة سم.
CANNOT_SKILL_NEED_TARGET	منِ الهدف؟
CANNOT_SKILL_NOT_ENOUGH_HP	إنني لا أملك ما يكفي من نقاط الحياة!
CANNOT_SKILL_NOT_ENOUGH_SP	إنني لا أملك نقاط أسلوب كافية!
CANNOT_SKILL_NOT_HORSE_SKILL	لا أستطيع استعماله أثناء ركوبي الحصان.
CANNOT_SKILL_NOT_MATCHABLE_WEAPON	لا استطيع استعمال هذه المهارة بهذا السلاح.
CANNOT_SKILL_NOT_YET_LEARN	إنني لم أتعلم هذه المهارة بعد.
CANNOT_SKILL_ONLY_FOR_ALLIANCE	هذا يؤثر فقط على أعضاء الفريق.
CANNOT_SKILL_ONLY_FOR_CORPSE	إن هذا يؤثر فقط على الموتى.
CANNOT_SKILL_REMOVE_FISHING_ROD	لا يمكنني استعمال هذه المهارة مع صنارة صيد.
CANNOT_SKILL_SELF_IN_SAFE	لا استطيع المهاجمة من هنا.
CANNOT_SKILL_USE_SELF	لا يمكنني استعماله على نفسي.
CANNOT_SKILL_WAIT_COOLTIME	لا يمكنني استعمال هذه المهارة بعد.
CANNOT_USE	لا يمكنك استعماله.
CANNOT_WHISPER_DEST_REFUSE	أغلق %s الهمس بالكامل.	SA
CANNOT_WHISPER_NOT_LOGON	إن %s غير مُتصل	SA
CANNOT_WHISPER_SELF_REFUSE	لا يمكنك الهمس لأحد إذا أغلقت الهمس بالكامل.	SNA
CHANNEL_EMPTY_SERVER	لا وجود لخادم
CHANNEL_NORMAL	قناة %d
CHANNEL_NOTIFY_FULL	إن هذه القناة ممتلئة! الرجاء اختيار قناة أخرى.
CHANNEL_NOT_FIND_INFO	لا توجد هناك معلومات عن هذه القناة.
CHANNEL_PVP	مبارزة حرة
CHANNEL_SELECT_CHANNEL	اختر القناة
CHANNEL_SELECT_REGION	اختر مكان وضع الفاتورة
CHANNEL_SELECT_SERVER	اختيار الخادم
CHAT_ALL	الجميع
CHAT_GUILD	رابطة
CHAT_INFORMATION	معلومة
CHAT_INSULT_STRING	الجملة تحتوي على كلمات مُخلة بالأدب.
CHAT_LOG	إظهار الرسائل القديمة [L]
CHAT_LOG_TITLE	سِجلُّ الدردشة
CHAT_NORMAL	عادي
CHAT_NOTICE	خادم
CHAT_PARTY	مجموعة
CHAT_SEND_CHAT	إرسال الدردشة
CHAT_SEND_MEMO	إرسال همس [Shift+Enter]
CHAT_SHOUT	نداء
CHAT_SHOUT_LIMIT	يُمكنك النداء كل 15 ثانية فقط
CREATE_ERROR_GM_NAME	لا يسمح باستخدام حروف ’’GM’’ (سيد اللعبة) في اسم اللاعب.
CREATE_ERROR_INSULT_NAME	الاسم غير صالح.
CREATE_EXIST_SAME_NAME	هناك شخصية أخرى تحمل هذا الاسم.
CREATE_FAILURE	لا يمكنك إنشاء هذه الشخصية.
CREATE_GM_NAME	مشرف اللعبة
CREATE_INPUT_NAME	ضع اسمك.
DAY	ي
DO_YOU_BUY_ITEM1	هل ترغب في شراء %s مقابل %s يانغ؟
DO_YOU_BUY_ITEM2	هل ترغب في شراء %s (%s قطعة) مقابل %s يانغ؟
DO_YOU_DROP_MONEY	هل تريد إسقاط %d يانغ؟
DO_YOU_SELL_ITEM1	هل ترغب في بيع %s مقابل %s يانغ؟
DO_YOU_SELL_ITEM2	هل ترغب في بيع %s (%s قطعة) مقابل %s يانغ؟
DRAGON_GATE_AUTO_REINFORCE_QUESTION	
DRAGON_GATE_CLEAR	
DRAGON_GATE_CLEAR_NOT_ENOUGH_MAX_REINFORCE	
DRAGON_GATE_CLEAR_QUESTION	
DRAGON_GATE_CLEAR_SELECT	
DRAGON_GATE_CLEAR_TOOLTIP	
DRAGON_GATE_DEFENSE	
DRAGON_GATE_ENCHANT_DARK	
DRAGON_GATE_ENCHANT_EARTH	
DRAGON_GATE_ENCHANT_ELECTRIC	
DRAGON_GATE_ENCHANT_FIRE	
DRAGON_GATE_ENCHANT_ICE	
DRAGON_GATE_ENCHANT_WIND	
DRAGON_GATE_EXPERIENCE	
DRAGON_GATE_HEALTH	
DRAGON_GATE_ITEM_CLEAR	
DRAGON_GATE_ITEM_CLEAR_QUESTION	
DRAGON_GATE_MARK	
DRAGON_GATE_MASTER_STEP_CHECK	
DRAGON_GATE_MY_POINT_TOOLTIP	
DRAGON_GATE_NEED_POINT_TOOLTIP	
DRAGON_GATE_PAEWANG	
DRAGON_GATE_POINT_CLEAR	
DRAGON_GATE_POINT_CLEAR_NOT_ENOUGH_POINT	
DRAGON_GATE_POINT_CLEAR_QUESTION	
DRAGON_GATE_POWER	
DRAGON_GATE_REINFORCE_APPLY_DEFAULT_TOOLTIP	
DRAGON_GATE_REINFORCE_BONUS	
DRAGON_GATE_REINFORCE_BONUS_APPLY	
DRAGON_GATE_REINFORCE_COUNT_TOOLTIP	
DRAGON_GATE_REINFORCE_MAX	
DRAGON_GATE_REINFORCE_NOT_BONUS_APPLY	
DRAGON_GATE_REINFORCE_NOT_BONUS_APPLY2	
DRAGON_GATE_REINFORCE_NOT_ENOUGH_POINT	
DRAGON_GATE_REINFORCE_QUESTION	
DRAGON_GATE_REINFORCE_RESULT	
DRAGON_GATE_REINFORCE_TOOLTIP	
DRAGON_GATE_REINFORCE_TOOLTIP_LINE1	
DRAGON_GATE_REINFORCE_TOOLTIP_LINE2	
DRAGON_GATE_REINFORCE_TOOLTIP_TITLE	
DRAGON_GATE_RESIST_DARK	
DRAGON_GATE_RESIST_EARTH	
DRAGON_GATE_RESIST_ELECTRIC	
DRAGON_GATE_RESIST_FIRE	
DRAGON_GATE_RESIST_ICE	
DRAGON_GATE_RESIST_WIND	
DRAGON_GATE_STEP_CLEAR_INITIALIZE_FIRST	
DRAGON_GATE_STEP_CLEAR_QUESTION_1	
DRAGON_GATE_STEP_CLEAR_QUESTION_2	
DRAGON_GATE_STEP_CLEAR_TOOLTIP	
DRAGON_GATE_STEP_CLEAR_WARNING_QUESTION_1	
DRAGON_GATE_STEP_CLEAR_WARNING_QUESTION_2	
DRAGON_GATE_STEP_UPGRADE_NOT_ENOUGH_POINT	
DRAGON_GATE_STEP_UPGRADE_QUESTION_1	
DRAGON_GATE_STEP_UPGRADE_QUESTION_2	
DRAGON_GATE_STEP_UPGRADE_TOOLTIP	
DRAGON_GATE_SUNGMA_HP	
DRAGON_GATE_SUNGMA_IMMUNE	
DRAGON_GATE_SUNGMA_MOVE	
DRAGON_GATE_SUNGMA_STR	
DRAGON_GATE_TOOLTIP_LINE1	
DRAGON_GATE_TOOLTIP_LINE2	
DRAGON_GATE_TOOLTIP_LINE3	
DRAGON_GATE_TOOLTIP_LINE4	
DRAGON_GATE_TOOLTIP_LINE5	
DRAGON_GATE_TOOLTIP_LINE6	
DRAGON_GATE_TOOLTIP_LINE7	
DRAGON_GATE_TOOLTIP_LINE8	
DRAGON_GATE_TOOLTIP_LINE9	
DRAGON_GATE_TOOLTIP_LINE10	
DRAGON_GATE_TOOLTIP_LINE11	
DRAGON_GATE_TOOLTIP_NOT_ENOUGH_REINFORCE	
DRAGON_GATE_TOOLTIP_TITLE	
DRAGON_GATE_TUGWI	
DRAGON_SOUL_CANNOT_REFINE	لا يمكنك صقل حجر التنين هذا.
DRAGON_SOUL_CANNOT_REFINE_MORE	لقد وصل حجر التنين هذا أعلى مستوى يُمكن وصوله.
DRAGON_SOUL_EQUIP_WARNING1	إن حذف حجر التنين من جديد في غاية الصعوبة.
DRAGON_SOUL_EQUIP_WARNING2	هل ترغب رغم ذلك في الاستمرار؟
DRAGON_SOUL_EXPIRED	حجر تنين مُنتهي الصلاحية
DRAGON_SOUL_INVALID_DRAGON_SOUL	إنه ليس حجر التنين الحقيقي.
DRAGON_SOUL_IS_NOT_DRAGON_SOUL	إنه ليس بحجر تنين.
DRAGON_SOUL_NOT_DRAGON_SOUL_REFINE_STONE	إن هذا ليس هو حجر التنين الحقيقي.
DRAGON_SOUL_NOT_ENOUGH_MATERIAL	إنك لا تملك ما يكفي من المواد لتنفيذ عملية الصقل.
DRAGON_SOUL_STEP_LEVEL1	صفاء: لامس،
DRAGON_SOUL_STEP_LEVEL2	صفاء: خالص،
DRAGON_SOUL_STEP_LEVEL3	صفاء: ناصع،
DRAGON_SOUL_STEP_LEVEL4	صفاء: لامع،
DRAGON_SOUL_STEP_LEVEL5	صفاء: ممتاز،
DRAGON_SOUL_STRENGTH	المستوى: +%d	SA
DRAGON_SOUL_UNEQUIP_WARNING1	قد يُدمّر حجر التنين أثناءها.
DRAGON_SOUL_UNEQUIP_WARNING2	هل ترغب رغم ذلك في الاستمرار؟
DRAGON_SOUL_UNMATCHED_SLOT	إنها ليست الفتحة الصحيحة.
DRAGON_SOUL_UNQUALIFIED	لا يمكنك استعمال كيمياء حجر التنين بعد.
DROP_ITEM_FAILURE_EQUIP_ITEM	لا تستطيع إسقاط الأشياء المجهزة.
DROP_ITEM_FAILURE_PRIVATE_SHOP	لا يمكنك إسقاط أي شيء، طالما أنك تملك متجراً شخصياً.
DROP_MONEY_FAILURE_1000_OVER	لا يمكنك إسقاط أكثر من 999 يانغ.
EMOTION_ANGRY	مُغضب
EMOTION_ATTRACTIVE	إغراء
EMOTION_BANTER	هازئ
EMOTION_CHEERS_1	تهليل 1
EMOTION_CHEERS_2	تهليل 2
EMOTION_CHEERUP	تهليل
EMOTION_CHOOSE_ONE	اختر هدفاً ما.
EMOTION_CLAP	تصفيق
EMOTION_CLAP_KISS	قبلة
EMOTION_CONGRATULATION	القبول
EMOTION_DANCE_1	رقصة 1
EMOTION_DANCE_2	الرقصة 2
EMOTION_DANCE_3	رقصة 3
EMOTION_DANCE_4	الرقصة 4
EMOTION_DANCE_5	الرقصة 5
EMOTION_DANCE_6	Gumsan Style
EMOTION_FORGIVE	السماح
EMOTION_FRENCH_KISS	قبلة حارة
EMOTION_JOY	فرح
EMOTION_SAD	حزين
EMOTION_SHY	رفض
EMOTION_SLAP	ضربة
EMPIRE_A	امبراطورية الشينسو
EMPIRE_B	امبراطورية الشونجو
EMPIRE_C	امبراطورية الجينو
EXCHANGE_CANNOT_GIVE	لا يمكن المتاجرة بهذا الشيء.
EXCHANGE_CANT_EDIT_MONEY	لا يمكنك تغير المبلغ الآن.
EXCHANGE_FAILURE_EQUIP_ITEM	لا يُمكنك استبدال المعدات المدججة.
EXCHANGE_MONEY	مبلغ
EXCHANGE_TITLE	تاجِرْ مع %s (%d)
FISHING_FAILURE	لقد أضعت الطُّعم.
FISHING_NOTIFY1	يبدو أن %s علِق في الطُّعم.
FISHING_NOTIFY2	يبدو أن %s سُجن.
FISHING_SUCCESS1	لقد نجحت في أسر %s!
FISHING_SUCCESS2	لقد سحبت %s من الماء!
FISHING_UNKNOWN	يبدو أن شيئاً ما عضّ السنارة، لكني أجهل ماهيته.
FISHING_WRONG_PLACE	لا يمكنك الصيد هنا.
FOR_FEMALE	للإناث
FOR_MALE	للذكور
GAME_CANNOT_MINING	لا يمكنك استخراج المعدن الخام أثناء ركوب الخيل.
GAME_CANNOT_PICK_ITEM	لا تستطيع الحصول على هذا الشيء لأن لاعباً آخر غنمه.
GAME_INIT_ERROR_CURSOR	تعذر رسم مؤشر الماوس.
GAME_INIT_ERROR_DIRECTX	يجب تثبيت DirectX 8.1 لتشغيل اللعبة.\nتبِّث DirectX 8.1 أو أعلى.
GAME_INIT_ERROR_GRAPHICS_BAD_PERFORMANCE	تعذر العثور على بطاقة صور لتشغيل اللعبة. \nالرجاء التأكد من أن بطاقة الصور في حاسوبك تشتغل بشكل صحيح VGA CARD.
GAME_INIT_ERROR_GRAPHICS_NOT_EXIST	لقد تعذر العثور على بطاقة الصور. \nتحقق إذا لديك VGA-Card. \n يمكنك بدلا عن ذلك استعمال مسرع الأجهزة. \n(ضع مسرع الأجهزة في سرعتها القصوى \nلوحة التحكم -> عرض> الخيارات > متطور> بطاقة التسجيل استكشاف الأخطاء وإصلاحه)
GAME_INIT_ERROR_GRAPHICS_NOT_SUPPORT_32BIT	لا تدعم بطاقة الرسومات للكمبيوتر نظام النافذة في مود 32 bit.\nاختر مود 16 bit أو استعمل نظام الشاشة الكاملة.
GAME_INIT_ERROR_ITEM_PROTO	لا توجد هناك معلومات عن هذا الشيء.\nالرجاء إعادة تثبيت اللعبة.
GAME_INIT_ERROR_MAIN_WINDOW	تعذر عرض النافذة الرئيسية.
GAME_INIT_ERROR_MOB_PROTO	لا توجد أي معلومات عن الوحش.\nالرجاء إعادة تثبيت اللعبة.
GAME_INIT_ERROR_NETWORK	لا يمكن تسجيل بطاقة الاتصال.\nالرجاء التحقق من الاتصال عبر الإنترنت.
GAME_PICK_MONEY	لقد حصلت على %s من اليانغ.
GUILDMARK_UPLOADER_ERROR_12_HEIGHT	العلو ليس 12 بكسل
GUILDMARK_UPLOADER_ERROR_16_WIDTH	العرض  ليس 16 بكسل
GUILDMARK_UPLOADER_ERROR_64_WIDTH	إن العرض أقل من 64 بيكسل
GUILDMARK_UPLOADER_ERROR_128_HEIGHT	نسبة العلو ليست 128 بكسل
GUILDMARK_UPLOADER_ERROR_FILE_FORMAT	إن هذه اللعبة لا تدعم هذه الصورة.
GUILDMARK_UPLOADER_ERROR_PATH	الرجاء نقل المعطيات إلى الملف في metin2/upload.
GUILDMARK_UPLOADER_ERROR_SELECT	لم يتم اختيار أي ملف للصورة.
GUILDWAR_CTF_TITLE	قتال الأعلام
GUILDWAR_NORMAL_TITLE	ميدان القتال
GUILDWAR_WARP_TITLE	ساحة الحرب
GUILD_BATTLE_CANNOT_GUILD_ACTION_MESSAGE	
GUILD_BOARD_ID	عضو
GUILD_BOARD_TEXT	رسالة
GUILD_BUILDING_GRADE	رتبة
GUILD_BUILDING_NAME	اسم المبنى
GUILD_CANNOT_HEAL_GSP_ANYMORE	امتلأت طاقة شبح التنين إلى آخرها.
GUILD_COMMENT	اكتب
GUILD_CREATE_ERROR_INSULT_NAME	اسم الرابطة غير مسموح به.
GUILD_DEFAULT_GRADE	أعضاء الرابطة
GUILD_DELETE	احذف
GUILD_DEPOSIT	ودائع
GUILD_DO_YOU_HEAL_GSP	هل ترغب مقابل %d من اليانغ في استرجاع %d من شبح التنين؟
GUILD_DO_YOU_JOIN	 قامت بدعوتك. هل ترغب في الانضمام إلى الرابطة؟
GUILD_EMPTY_AREA	أرض خالية
GUILD_FACILITY	مبنى جانبي
GUILD_GEM	حجر كريم
GUILD_HEADQUARTER	المبنى الرئيسي
GUILD_HEAL_GSP	إعادة شبح التنين
GUILD_INFO_ENEMY_GUILD_EMPTY	لا يوجد
GUILD_MARK_NOT_ENOUGH_LEVEL	أدنى مستوى مطلوب 3
GUILD_MEMBER_JOB	طبقة
GUILD_MEMBER_KNIGHT	مقاتل
GUILD_MEMBER_LEVEL	مستوى
GUILD_MEMBER_NAME	عضو
GUILD_MEMBER_RANK	رتبة
GUILD_MEMBER_SPECIFIC_GRAVITY	نقاط الخبرة EXP المُتبرّع بها
GUILD_NAME	اسم الرابطة
GUILD_NOT_ENOUGH_MATERIAL	لا تملك مواد بناء كافية لهذا المبنى.
GUILD_NOT_ENOUGH_MONEY	لا تملك يانغ كافٍ لبناء هذا المبنى.
GUILD_NO_NOTICE_PERMISSION	إنك غير مُؤهل لتقديم إعلانٍ ما.
GUILD_OBJECT	أشياء
GUILD_OFFER_EXP	استثمار الخبرة
GUILD_SHORT_EXP	عدد نقاط الخبرة غير كافٍ.
GUILD_TILE_BASEINFO	معلومات عن الأرض
GUILD_TILE_BOARD	مذكرات خاصة بالرابطة
GUILD_TILE_GRADE	إدارة الحقوق
GUILD_TILE_INFO	معلومات الرابطة
GUILD_TILE_MEMBER	الأعضاء
GUILD_TILE_SKILL	مهارات الروابط
GUILD_REMOVE_MEMBER_QUESTION	هل تريد إزالة هذا العضو؟
GUILD_VILLAGE_01	ميريانغ
GUILD_VILLAGE_02	سونغبا
GUILD_VILLAGE_03	دايامي
GUILD_WAR1	منطقة حرب الرابطة
GUILD_WAR2	منطقة حرب الرابطة
GUILD_WAR3	منطقة حرب الرابطة
GUILD_WAR4	منطقة حرب الرابطة
GUILD_WAR_LIMIT_30MIN	الوقت: 30 دقيقة
GUILD_WAR_REWARD_POTION	مكافأة: سيحصل الفائز على جرع
GUILD_WAR_USE_BATTLE_MAP	المكان: ساحة الحرب للرابطة
GUILD_WAR_USE_NORMAL_MAP	مكان: خريطة عادية
GUILD_WAR_WIN_CHECK_SCORE	ستفوز الرابطة التي حصلت على أكبر عدد من الانتصارات بالحرب.
GUILD_WAR_WIN_TAKE_AWAY_FLAG1	استولي على علم الخصم
GUILD_WAR_WIN_TAKE_AWAY_FLAG2	وخذه إلى مقرك.
GUILD_WAR_WIN_WIPE_OUT_GUILD	عليك القضاء على جميع الخصوم لكي تفوز.
GUILD_WITHDRAW	انسحاب
GUILD_YOU_DO_NOT_JOIN	إنك لا تنتمي إلى أي رابطة.
HORSE_HEALTH0	ميت
HORSE_HEALTH1	يموت جوعاً
HORSE_HEALTH2	جائع
HORSE_HEALTH3	مملوء
HORSE_LEVEL1	حصان عادي
HORSE_LEVEL2	حصان مدرع
HORSE_LEVEL3	حصان الجيش
HOUR	س
HOW_MANY_ITEM_DO_YOU_DROP1	هل ترغب في إسقاط  %s؟
HOW_MANY_ITEM_DO_YOU_DROP2	هل ترغب في إسقاط %s لـ%d؟
INPUT_PRIVATE_CODE_DIALOG_DESCRIPTION	أدخل شفرة الحذف من خيار إدارة الحساب.
INPUT_PRIVATE_CODE_DIALOG_TITLE	حذف الشخصية
INVENTORY_REALLY_USE_ITEM	هل ترغب في تفعيل هذا البند على هذا الشيء؟
JOB_ASSASSIN	نينجا
JOB_ASSASSIN0	لا شيء
JOB_ASSASSIN1	نينجا القتال عن قرب
JOB_ASSASSIN2	نينجا القتال عن بعد
JOB_SHAMAN	شامان
JOB_SHAMAN0	لا شيء
JOB_SHAMAN1	شامان التنين
JOB_SHAMAN2	شامان الشفاء
JOB_SURA	سورا
JOB_SURA0	لا شيء
JOB_SURA1	سورا القتال السحري
JOB_SURA2	سورا السّحر الأسود
JOB_WARRIOR	محارب
JOB_WARRIOR0	لا شيء
JOB_WARRIOR1	مصارع
JOB_WARRIOR2	مقاتل ذهني
JOB_WOLFMAN0	ليكانر هاوي
JOB_WOLFMAN1	غريزة
JOB_WOLFMAN2	غير متاح
LEFT_TIME	الوقت المتبقي
LOCALE_CHANGE_CONFIRM	غيّر اللغة إلى %s وأعد تحميل اللعبة
LOGIN_CONNECT_FAILURE	حصل خطأ عند الاتصال بالخادم.
LOGIN_CONNECT_SUCCESS	تم ربط الاتصال بالخادم.
LOGIN_CONNETING	انتظر من فضلك. سيتم ربط الاتصال بالخادم.
LOGIN_FAILURE_ALREAY	حسابك متصل بالفعل.
LOGIN_FAILURE_BE_SAME_KEY	خطأ في التسجيل
LOGIN_FAILURE_BLOCK_ID	تم حظر هذا الحساب.
LOGIN_FAILURE_BLOCK_LOGIN	خادم مغلق: الرجاء اختيار خادم آخر!
LOGIN_FAILURE_NOBILL	لم يُسجل في هذا الحساب وقتُ لعب بعد.
LOGIN_FAILURE_NOT_AVAIL	هذا الحساب ليس متاحًا.
LOGIN_FAILURE_NOT_EXIST_ID	خطأ في اسم الحساب أو في كلمة السر.
LOGIN_FAILURE_REPAIR_ID	سيتم إرجاع المعدات لهذا الحساب.
LOGIN_FAILURE_SAMELOGIN	سجل أحد الأشخاص الدخول بحسابك.
LOGIN_FAILURE_SHUTDOWN	الخادم غير متوفر.
LOGIN_FAILURE_TOO_MANY_USER	لقد تعذر ربط الاتصال بسبب العدد الكبير للاعبين.
LOGIN_FAILURE_UNKNOWN	إنك لم تنجح في تسجيل الدخول نظراً لأسباب مجهولة.
LOGIN_FAILURE_WEB_BLOCK	لقد تم فرض حظر عليك في هذه الصفحة. الرجاء مراجعة صندوق بريدك الإلكتروني.
LOGIN_FAILURE_WRONG_PASSWORD	خطأ في اسم الحساب أو في كلمة السر.
LOGIN_INPUT_ID	الرجاء إدخال المُعرِّف.
LOGIN_INPUT_PASSWORD	الرجاء إدخال كلمة السّر.
LOGIN_PROCESSING	جاري التسجيل...
MALL_CANNOT_INSERT	لا يمكنك وضع الشيء.
MALL_PASSWORD_TITLE	كلمة السّر
MAP_A1	منطقة يونغان
MAP_A2	وادي سوينغريونغ
MAP_A2_1	
MAP_A2_1	
MAP_A3	منطقة يايانغ
MAP_AG	جونغرانغ
MAP_B1	منطقة جوان
MAP_B2	وادي إمجي
MAP_B3	إقليم بوكيونغ
MAP_BATTLE_FIELD	منطقة المعركة
MAP_BAY	خليج نيفريت
MAP_BAYBLACKSAND	خليج نيفريت
MAP_BG	واريونغ
MAP_C1	منطقة بيونغمو
MAP_C2	وادي بانغسان
MAP_C3	منطقة باكرا
MAP_CAPE	رأس نار التنين
MAP_CAPEDRAGONHEAD	رأس نار التنين
MAP_CG	إمها
MAP_CZ_DUNGEON	معبد زودياك
MAP_DAWN	جرف غواتاما
MAP_DAWNMISTWOOD	جرف غواتاما
MAP_DAWNMIST_DUNGEON_01	غابة مسحورة
MAP_DESERT	صحراء يونغبي
MAP_DEVILCATACOMB	سرداب الموت
MAP_DEVILTOWER1	برج الشياطين
MAP_DUEL	ساحة تداريب القتال
MAP_E	منطقة الليكانر
MAP_EMPIREWAR01	معركة الحصن
MAP_EMPIREWAR02	معركة الحصن
MAP_EMPIREWAR03	معركة الحصن
MAP_FLAME	دويومهوان
MAP_MILGYO_A	
MAP_GUILD_01	جونغرانغ
MAP_GUILD_02	واريونغ
MAP_GUILD_03	إمها
MAP_HOLYPLACE_DESERT	معركة الإمبراطورية-أرض الصحراء
MAP_HOLYPLACE_FLAME	معركة الإمبراطورية-أرض النار
MAP_HOLYPLACE_ICE	معركة الإمبراطورية الأرض الجليدية
