ACCEPT	OK
ATTACH_METIN_INFO	Quer mesmo combinar?
ATTACH_METIN_TITLE	Combinar itens
CANCEL	Fechar
CHANGE_PASSWORD_CONFIRM	Confirme a nova senha
CHANGE_PASSWORD_NEW	Nova senha
CHANGE_PASSWORD_OLD	Senha original
CHANGE_PASSWORD_TITLE	Troca de senha
CHARACTER_ACTION	Ações
CHARACTER_MAIN	Status
CHARACTER_MUTUAL_ACTION	Expressões interativas
CHARACTER_NORMAL_ACTION	Expressões
CHARACTER_QUEST	Quests
CHARACTER_SKILL	Skills
CLOSE	Fechar
COMB_TITLE	Janela de Combinação
COSTUME_TITLE	Costumes
COSTUME_WINDOW_TITLE	Trajes
CREATE_ATT_GRADE	FOR
CREATE_CREATE	Criar
CREATE_DEX_GRADE	DES
CREATE_HP	VIT
CREATE_MAN	Masculino
CREATE_NAME	Nome
CREATE_NEXT	Próximo
CREATE_PREV	Anterior
CREATE_SEX	Sexo
CREATE_SHAPE	Vestimenta
CREATE_SP	INT
CREATE_WOMAN	Feminino
CUBE_INFO_TITLE	Manual de Refinamento
CUBE_REQUIRE_MATERIAL	Materiais necessários
CUBE_REQUIRE_MATERIAL_OR	ou
CUBE_TITLE	Cubo
DO_REFINE	Refinar
DRAGONSOUL_ACTIVATE	Ativar 
DRAGONSOUL_PAGE_BUTTON_1	Com(D)
DRAGONSOUL_PAGE_BUTTON_2	Incom(C)
DRAGONSOUL_PAGE_BUTTON_3	Rara(B)
DRAGONSOUL_PAGE_BUTTON_4	Antiga(A)
DRAGONSOUL_PAGE_BUTTON_5	Lendária(S)
DRAGONSOUL_REFINE_WINDOW_TITLE	Refinamento de Pedra de Dragão
DRAGONSOUL_TAP_TITLE_1	Diamante
DRAGONSOUL_TAP_TITLE_2	Rubi
DRAGONSOUL_TAP_TITLE_3	Jade
DRAGONSOUL_TAP_TITLE_4	Safira
DRAGONSOUL_TAP_TITLE_5	Granada
DRAGONSOUL_TAP_TITLE_6	Ônix
DRAGONSOUL_TITLE	Pedra de Dragão
EMPIRE_EXIT	Voltar
EMPIRE_NEXT	Próximo
EMPIRE_PREV	Anterior
EMPIRE_SELECT	Selecionar
EXCHANGE_ACCEPT	Aceitar
EXCHANGE_TITLE	Negociar
GAMEOPTION_TITLE	Opções de jogo
GAME_EXIT_OBSERVER	Sair do modo Espectador
GAME_HELP	Ajuda
GAME_QUEST	Quests
GAME_SKILL_UP	Ponto de Skill
GAME_STAT_UP	Ponto de Status
GRADE_SELECT	Classe
GUILD_BASENAME	Nome
GUILD_BOARD_ID	Personagem
GUILD_BOARD_REFRESH	Atualizar <F5>
GUILD_BOARD_TEXT	Mensagem
GUILD_BUILDING_CATEGORY_TITLE	Classificação
GUILD_BUILDING_CHANGE	Mover
GUILD_BUILDING_DIRECTION	Direção
GUILD_BUILDING_GRADE	Posição
GUILD_BUILDING_INFO	Informações
GUILD_BUILDING_LIST_TITLE	Unidades de construção
GUILD_BUILDING_LOG	Tronco
GUILD_BUILDING_NAME	Nome
GUILD_BUILDING_OPERATE	Operar
GUILD_BUILDING_PLY	Compensado
GUILD_BUILDING_POSITION	Localização
GUILD_BUILDING_PREVIEW	Visualizar
