ACCEPT	Akceptovat
ATTACH_METIN_INFO	Přejete si použít kámen ducha?
ATTACH_METIN_TITLE	Použít kámen ducha
CANCEL	Zrušit
CHANGE_PASSWORD_CONFIRM	Potvrdit nové heslo
CHANGE_PASSWORD_NEW	Nové heslo
CHANGE_PASSWORD_OLD	Staré heslo
CHANGE_PASSWORD_TITLE	Změna hesla
CHARACTER_ACTION	Akce
CHARACTER_MAIN	Postava
CHARACTER_MUTUAL_ACTION	Interaktivní akce
CHARACTER_NORMAL_ACTION	Normální akce
CHARACTER_QUEST	Úkol
CHARACTER_SKILL	Schopnosti
CLOSE	Zavřít
COMB_TITLE	
COSTUME_TITLE	Kostýmy
COSTUME_WINDOW_TITLE	Kostýmy
CREATE_ATT_GRADE	SIL
CREATE_CREATE	Vytvořit
CREATE_DEX_GRADE	POH
CREATE_HP	VIT
CREATE_MAN	Muž
CREATE_NAME	Jméno
CREATE_NEXT	Dále
CREATE_PREV	Zpět
CREATE_SEX	Pohlaví
CREATE_SHAPE	Vzhled
CREATE_SP	INT
CREATE_WOMAN	Žena
CUBE_INFO_TITLE	Příručka zušlechťování
CUBE_REQUIRE_MATERIAL	Požadované materiály
CUBE_REQUIRE_MATERIAL_OR	nebo
CUBE_TITLE	Okno zušlechťování
DO_REFINE	Zušlechtit
DRAGONSOUL_ACTIVATE	Aktivovat
DRAGONSOUL_PAGE_BUTTON_1	Surový
DRAGONSOUL_PAGE_BUTTON_2	Broušený
DRAGONSOUL_PAGE_BUTTON_3	Vzácný
DRAGONSOUL_PAGE_BUTTON_4	Starověký
DRAGONSOUL_PAGE_BUTTON_5	Legendární
DRAGONSOUL_REFINE_WINDOW_TITLE	Okno zušlechťování
DRAGONSOUL_TAP_TITLE_1	Dračí diamant
DRAGONSOUL_TAP_TITLE_2	Dračí rubín
DRAGONSOUL_TAP_TITLE_3	Dračí nefrit
DRAGONSOUL_TAP_TITLE_4	Dračí safír
DRAGONSOUL_TAP_TITLE_5	Dračí granát
DRAGONSOUL_TAP_TITLE_6	Dračí onyx
DRAGONSOUL_TITLE	Alchymie Dračích kamenů
EMPIRE_EXIT	Ukončit
EMPIRE_NEXT	Dále
EMPIRE_PREV	Zpět
EMPIRE_SELECT	Zvolit
EXCHANGE_ACCEPT	Převzít
EXCHANGE_TITLE	Obchodování
GAMEOPTION_TITLE	Nastavení hry
GAME_EXIT_OBSERVER	Ukončit divácký modus
GAME_HELP	Nápověda
GAME_QUEST	Úkoly
GAME_SKILL_UP	Zvýšit schopnost
GAME_STAT_UP	Zvýšit status
GRADE_SELECT	Stupeň
