AFF_LOVE_POINT	Sevgi Puanı: %%%d
ALIGNMENT_NAME	Sıralaması Puanları:
CANNOT_ATTACK_DEST_IN_SAFE	Şavasçı çok uzakta.
CANNOT_ATTACK_SELF_IN_SAFE	Saldıramam.
CANNOT_EQUIP_IN_EXCHANGE	Ticaret yaparken zırhını değiştiremezsin.
CANNOT_EQUIP_IN_SHOP	Ticaret yaparken zırhını değiştiremezsin.
CANNOT_OPEN_PRIVATE_SHOP_IN_SAFE_AREA	Genel alanda özel depo açamazsın.
CANNOT_SHOOT_DEST_IN_SAFE	Düşman çok uzakta.
CANNOT_SHOOT_EMPTY_ARROW	Bir oka ihtiyacım var.
CANNOT_SHOOT_SELF_IN_SAFE	Bunu yapamam.
CANNOT_SKILL_APPROACH	Eminim daha fazla yaklaşamam.
CANNOT_SKILL_ATTACK	Saldıramam.
CANNOT_SKILL_DEST_IN_SAFE	Düşman çok uzakta.
CANNOT_SKILL_EQUIP_FISHING_ROD	Bir oltaya ihtiyacım var.
CANNOT_SKILL_HAVE_TO_RIDE	Bunu kullanmadan önce bir ata ihtiyacım var.
CANNOT_SKILL_NEED_EMPTY_BOTTLE	Boş bir şişem yok.
CANNOT_SKILL_NEED_POISON_BOTTLE	Zehirli şişem yok.
CANNOT_SKILL_NEED_TARGET	Hedef kim?
CANNOT_SKILL_NOT_ENOUGH_HP	Yeterli HP yok!
CANNOT_SKILL_NOT_ENOUGH_SP	Yeterli SP yok!
CANNOT_SKILL_NOT_HORSE_SKILL	Bunu at sürerken kullanamam.
CANNOT_SKILL_NOT_MATCHABLE_WEAPON	Bu beceriyi bu silahla kullanamam.
CANNOT_SKILL_NOT_YET_LEARN	Bu beceriyi öğrenmedim.
CANNOT_SKILL_ONLY_FOR_ALLIANCE	Bu sadece grup üyelerini etkiler.
CANNOT_SKILL_ONLY_FOR_CORPSE	Bu sadece ölüleri etkiler.
CANNOT_SKILL_REMOVE_FISHING_ROD	Bu beceriyi olta ile kullanamam.
CANNOT_SKILL_SELF_IN_SAFE	Buradan saldıramam.
CANNOT_SKILL_USE_SELF	Bunu kendi üzerimde yapamam.
CANNOT_SKILL_WAIT_COOLTIME	Henüz bu beceriyi kullanamam.
CANNOT_USE	Onu kullanamazsın.
CANNOT_WHISPER_DEST_REFUSE	%s fısıldamayı blokladı.	SA
CANNOT_WHISPER_NOT_LOGON	%s bağlı değil.	SA
CANNOT_WHISPER_SELF_REFUSE	Fısıldamayı blokladığında birine birşey fısıldayamazsın.	SNA
CHANNEL_EMPTY_SERVER	Sunucu yok
CHANNEL_NORMAL	Kanal %d
CHANNEL_NOTIFY_FULL	Bu kanal dolu! Lütfen başka bir kanal seçiniz.
CHANNEL_NOT_FIND_INFO	Kanal üzerinden herhangi bir bilgiye ulaşılamadı.
CHANNEL_PVP	Serbest düello
CHANNEL_SELECT_CHANNEL	Kanal Seç
CHANNEL_SELECT_REGION	Bölge seç.
CHANNEL_SELECT_SERVER	Sunucu seç
CHAT_ALL	Genel
CHAT_GUILD	Lonca
CHAT_INFORMATION	Bilgi
CHAT_INSULT_STRING	Bu cümle yanlış kelimeler içeriyor.
CHAT_LOG	Eski mesajı göster[L]
CHAT_LOG_TITLE	Sohbet Protokolü
CHAT_NORMAL	Normal
CHAT_NOTICE	Duyuru
CHAT_PARTY	Grup
CHAT_SEND_CHAT	Sohbet yolla
CHAT_SEND_MEMO	Fısıltı gönder[Shift+Enter]
CHAT_SHOUT	Bağırmak
CHAT_SHOUT_LIMIT	15 saniyede bir bağırabilirsiniz.
COMB_ALREADY_APPEND	
CREATE_ERROR_GM_NAME	Karakter isminizde, GM ismini kullanamazsiniz.
CREATE_ERROR_INSULT_NAME	Bu isim hatalı.
CREATE_EXIST_SAME_NAME	Bu ismi zaten başka bir karakter kullanıyor.
CREATE_FAILURE	Karakteri yaratamazsın.
CREATE_GM_NAME	GM
CREATE_INPUT_NAME	İsmi gir.
DAY	Gün
DO_YOU_BUY_ITEM1	Satın almak istiyor musun? Nesne: %s Fiyat: %s
DO_YOU_BUY_ITEM2	Satın almak istiyor musun? Nesne: %s %s Fiyat: %s
DO_YOU_DROP_MONEY	%d Yang bırakmak istiyor musun?
DO_YOU_SELL_ITEM1	Satmak istiyor musun? Nesne: %s Fiyat: %s
