ACCEPT	Kabul Et.
ATTACH_METIN_INFO	Ruh Taşı'nı eklemek istiyor musun?
ATTACH_METIN_TITLE	Ruh Taşı'nı ekle
CANCEL	iptal
CHANGE_PASSWORD_CONFIRM	Yeni şifreyi tekrarla
CHANGE_PASSWORD_NEW	Yeni şifre
CHANGE_PASSWORD_OLD	Eski şifre
CHANGE_PASSWORD_TITLE	Şifre Değiştir
CHARACTER_ACTION	Duygu
CHARACTER_MAIN	Karakter
CHARACTER_MUTUAL_ACTION	Ortak Hareket
CHARACTER_NORMAL_ACTION	Normal Hareket
CHARACTER_QUEST	Görevler
CHARACTER_SKILL	Beceri
CLOSE	Kapat
COMB_TITLE	
COSTUME_TITLE	Kostümler
COSTUME_WINDOW_TITLE	Kostümler
CREATE_ATT_GRADE	STR
CREATE_CREATE	Oluştur
CREATE_DEX_GRADE	DEX
CREATE_HP	HP
CREATE_MAN	Erkek
CREATE_NAME	Isim
CREATE_NEXT	Sonraki
CREATE_PREV	Önceki
CREATE_SEX	Cinsiyet
CREATE_SHAPE	Biçim
CREATE_SP	Zeka
CREATE_WOMAN	Kadın
CUBE_INFO_TITLE	Arındırma Kılavuzu
CUBE_REQUIRE_MATERIAL	Gerekli malzemeler:
CUBE_REQUIRE_MATERIAL_OR	veya
CUBE_TITLE	Arındırma Paneli
DO_REFINE	Arındır
DRAGONSOUL_ACTIVATE	Etkinleştir
DRAGONSOUL_PAGE_BUTTON_1	İşlenmemiş
DRAGONSOUL_PAGE_BUTTON_2	Yontulmuş
DRAGONSOUL_PAGE_BUTTON_3	Ender
DRAGONSOUL_PAGE_BUTTON_4	Antika
DRAGONSOUL_PAGE_BUTTON_5	Efsanevi
DRAGONSOUL_REFINE_WINDOW_TITLE	Arındırma Paneli
DRAGONSOUL_TAP_TITLE_1	Ejderha Elması
DRAGONSOUL_TAP_TITLE_2	Ejderha Yakutu
DRAGONSOUL_TAP_TITLE_3	Ejderha Yeşimi
DRAGONSOUL_TAP_TITLE_4	Ejderha Safiri
DRAGONSOUL_TAP_TITLE_5	Ejderha Grenası
DRAGONSOUL_TAP_TITLE_6	Ejderha Oniksi
DRAGONSOUL_TITLE	Ejderha Taşı Simyası
EMPIRE_EXIT	Çıkış
EMPIRE_NEXT	Sonraki
EMPIRE_PREV	Önceki
EMPIRE_SELECT	Seçim
EXCHANGE_ACCEPT	Kabul
EXCHANGE_TITLE	Ticaret
GAMEOPTION_TITLE	Oyun Seçenekleri
GAME_EXIT_OBSERVER	İzlemeyi Bitir
GAME_HELP	Yardım
GAME_QUEST	Görevler
GAME_SKILL_UP	Becerileri Geliştir
GAME_STAT_UP	Statü Geliştir
GRADE_SELECT	Sınıf
GUILD_BASENAME	Temel isim
GUILD_BOARD_ID	Isim
GUILD_BOARD_REFRESH	Yenile (F5)
GUILD_BOARD_TEXT	Mesaj
GUILD_BUILDING_CATEGORY_TITLE	İnşaat Birimleri
GUILD_BUILDING_CHANGE	Değiştir
GUILD_BUILDING_DIRECTION	Yön
GUILD_BUILDING_GRADE	Sıra
GUILD_BUILDING_INFO	Yapılar ve masraf bilgileri
GUILD_BUILDING_LIST_TITLE	Bina Listesi
GUILD_BUILDING_LOG	dilb kök
GUILD_BUILDING_NAME	Bina ismi
